replicate_id,blank_id,read_number,run_id,concentration_nM,response_curve_filepath
1,,1,2,0.0,data/response_curves/response_rep1_read1.csv
1,,2,2,31.6,data/response_curves/response_rep1_read2.csv
1,,3,2,100.0,data/response_curves/response_rep1_read3.csv
1,,4,2,316.2,data/response_curves/response_rep1_read4.csv
2,,1,4,0.0,data/response_curves/response_rep2_read1.csv
2,,2,4,10.0,data/response_curves/response_rep2_read2.csv
2,,3,4,31.6,data/response_curves/response_rep2_read3.csv
2,,4,4,100.0,data/response_curves/response_rep2_read4.csv
2,,5,4,316.2,data/response_curves/response_rep2_read5.csv
3,,1,2,0.0,data/response_curves/response_rep3_read1.csv
3,,2,2,31.6,data/response_curves/response_rep3_read2.csv
3,,3,2,100.0,data/response_curves/response_rep3_read3.csv
3,,4,2,316.2,data/response_curves/response_rep3_read4.csv
3,,5,2,1000.0,data/response_curves/response_rep3_read5.csv
4,,1,4,0.0,data/response_curves/response_rep4_read1.csv
4,,2,4,10.0,data/response_curves/response_rep4_read2.csv
4,,3,4,31.6,data/response_curves/response_rep4_read3.csv
4,,4,4,100.0,data/response_curves/response_rep4_read4.csv
4,,5,4,316.2,data/response_curves/response_rep4_read5.csv
5,,1,2,0.0,data/response_curves/response_rep5_read1.csv
5,,2,2,31.6,data/response_curves/response_rep5_read2.csv
5,,3,2,100.0,data/response_curves/response_rep5_read3.csv
5,,4,2,316.2,data/response_curves/response_rep5_read4.csv
5,,5,2,1000.0,data/response_curves/response_rep5_read5.csv
6,,1,3,0.0,data/response_curves/response_rep6_read1.csv
6,,2,3,31.6,data/response_curves/response_rep6_read2.csv
6,,3,3,100.0,data/response_curves/response_rep6_read3.csv
6,,4,3,316.2,data/response_curves/response_rep6_read4.csv
6,,5,3,1000.0,data/response_curves/response_rep6_read5.csv
7,,1,2,0.0,data/response_curves/response_rep7_read1.csv
7,,2,2,31.6,data/response_curves/response_rep7_read2.csv
7,,3,2,100.0,data/response_curves/response_rep7_read3.csv
7,,4,2,316.2,data/response_curves/response_rep7_read4.csv
7,,5,2,1000.0,data/response_curves/response_rep7_read5.csv
8,,1,4,0.0,data/response_curves/response_rep8_read1.csv
8,,2,4,10.0,data/response_curves/response_rep8_read2.csv
8,,3,4,31.6,data/response_curves/response_rep8_read3.csv
8,,4,4,100.0,data/response_curves/response_rep8_read4.csv
8,,5,4,316.2,data/response_curves/response_rep8_read5.csv
9,,1,2,0.0,data/response_curves/response_rep9_read1.csv
9,,2,2,31.6,data/response_curves/response_rep9_read2.csv
9,,3,2,100.0,data/response_curves/response_rep9_read3.csv
9,,4,2,316.2,data/response_curves/response_rep9_read4.csv
9,,5,2,1000.0,data/response_curves/response_rep9_read5.csv
10,,1,4,0.0,data/response_curves/response_rep10_read1.csv
10,,2,4,10.0,data/response_curves/response_rep10_read2.csv
10,,3,4,31.6,data/response_curves/response_rep10_read3.csv
10,,4,4,100.0,data/response_curves/response_rep10_read4.csv
10,,5,4,316.2,data/response_curves/response_rep10_read5.csv
11,,1,2,0.0,data/response_curves/response_rep11_read1.csv
11,,2,2,31.6,data/response_curves/response_rep11_read2.csv
11,,3,2,100.0,data/response_curves/response_rep11_read3.csv
11,,4,2,316.2,data/response_curves/response_rep11_read4.csv
12,,1,4,0.0,data/response_curves/response_rep12_read1.csv
12,,2,4,10.0,data/response_curves/response_rep12_read2.csv
12,,3,4,31.6,data/response_curves/response_rep12_read3.csv
12,,4,4,100.0,data/response_curves/response_rep12_read4.csv
12,,5,4,316.2,data/response_curves/response_rep12_read5.csv
13,,1,3,0.0,data/response_curves/response_rep13_read1.csv
13,,2,3,31.6,data/response_curves/response_rep13_read2.csv
13,,3,3,100.0,data/response_curves/response_rep13_read3.csv
13,,4,3,316.2,data/response_curves/response_rep13_read4.csv
14,,1,4,0.0,data/response_curves/response_rep14_read1.csv
14,,2,4,10.0,data/response_curves/response_rep14_read2.csv
14,,3,4,31.6,data/response_curves/response_rep14_read3.csv
14,,4,4,100.0,data/response_curves/response_rep14_read4.csv
14,,5,4,316.2,data/response_curves/response_rep14_read5.csv
15,,1,2,0.0,data/response_curves/response_rep15_read1.csv
15,,2,2,31.6,data/response_curves/response_rep15_read2.csv
15,,3,2,100.0,data/response_curves/response_rep15_read3.csv
15,,4,2,316.2,data/response_curves/response_rep15_read4.csv
15,,5,2,1000.0,data/response_curves/response_rep15_read5.csv
16,,1,2,0.0,data/response_curves/response_rep16_read1.csv
16,,2,2,31.6,data/response_curves/response_rep16_read2.csv
16,,3,2,100.0,data/response_curves/response_rep16_read3.csv
16,,4,2,316.2,data/response_curves/response_rep16_read4.csv
16,,5,2,1000.0,data/response_curves/response_rep16_read5.csv
17,,1,3,0.0,data/response_curves/response_rep17_read1.csv
17,,2,3,31.6,data/response_curves/response_rep17_read2.csv
17,,3,3,100.0,data/response_curves/response_rep17_read3.csv
17,,4,3,316.2,data/response_curves/response_rep17_read4.csv
17,,5,3,1000.0,data/response_curves/response_rep17_read5.csv
18,,1,1,0.0,data/response_curves/response_rep18_read1.csv
18,,2,1,31.6,data/response_curves/response_rep18_read2.csv
18,,3,1,100.0,data/response_curves/response_rep18_read3.csv
18,,4,1,316.2,data/response_curves/response_rep18_read4.csv
18,,5,1,1000.0,data/response_curves/response_rep18_read5.csv
19,,1,2,0.0,data/response_curves/response_rep19_read1.csv
19,,2,2,31.6,data/response_curves/response_rep19_read2.csv
19,,3,2,100.0,data/response_curves/response_rep19_read3.csv
19,,4,2,316.2,data/response_curves/response_rep19_read4.csv
19,,5,2,1000.0,data/response_curves/response_rep19_read5.csv
20,,1,2,0.0,data/response_curves/response_rep20_read1.csv
20,,2,2,31.6,data/response_curves/response_rep20_read2.csv
20,,3,2,100.0,data/response_curves/response_rep20_read3.csv
20,,4,2,316.2,data/response_curves/response_rep20_read4.csv
20,,5,2,1000.0,data/response_curves/response_rep20_read5.csv
21,,1,4,0.0,data/response_curves/response_rep21_read1.csv
21,,2,4,10.0,data/response_curves/response_rep21_read2.csv
21,,3,4,31.6,data/response_curves/response_rep21_read3.csv
21,,4,4,100.0,data/response_curves/response_rep21_read4.csv
21,,5,4,316.2,data/response_curves/response_rep21_read5.csv
22,,1,2,0.0,data/response_curves/response_rep22_read1.csv
22,,2,2,31.6,data/response_curves/response_rep22_read2.csv
22,,3,2,100.0,data/response_curves/response_rep22_read3.csv
22,,4,2,316.2,data/response_curves/response_rep22_read4.csv
22,,5,2,1000.0,data/response_curves/response_rep22_read5.csv
23,,1,3,0.0,data/response_curves/response_rep23_read1.csv
23,,2,3,31.6,data/response_curves/response_rep23_read2.csv
23,,3,3,100.0,data/response_curves/response_rep23_read3.csv
23,,4,3,316.2,data/response_curves/response_rep23_read4.csv
23,,5,3,1000.0,data/response_curves/response_rep23_read5.csv
24,,1,1,0.0,data/response_curves/response_rep24_read1.csv
24,,2,1,31.6,data/response_curves/response_rep24_read2.csv
24,,3,1,100.0,data/response_curves/response_rep24_read3.csv
24,,4,1,316.2,data/response_curves/response_rep24_read4.csv
24,,5,1,1000.0,data/response_curves/response_rep24_read5.csv
25,,1,2,0.0,data/response_curves/response_rep25_read1.csv
25,,2,2,31.6,data/response_curves/response_rep25_read2.csv
25,,3,2,100.0,data/response_curves/response_rep25_read3.csv
25,,4,2,316.2,data/response_curves/response_rep25_read4.csv
25,,5,2,1000.0,data/response_curves/response_rep25_read5.csv
26,,1,2,0.0,data/response_curves/response_rep26_read1.csv
26,,2,2,31.6,data/response_curves/response_rep26_read2.csv
26,,3,2,100.0,data/response_curves/response_rep26_read3.csv
26,,4,2,316.2,data/response_curves/response_rep26_read4.csv
26,,5,2,1000.0,data/response_curves/response_rep26_read5.csv
27,,1,3,0.0,data/response_curves/response_rep27_read1.csv
27,,2,3,31.6,data/response_curves/response_rep27_read2.csv
27,,3,3,100.0,data/response_curves/response_rep27_read3.csv
27,,4,3,316.2,data/response_curves/response_rep27_read4.csv
27,,5,3,1000.0,data/response_curves/response_rep27_read5.csv
28,,1,2,0.0,data/response_curves/response_rep28_read1.csv
28,,2,2,31.6,data/response_curves/response_rep28_read2.csv
28,,3,2,100.0,data/response_curves/response_rep28_read3.csv
28,,4,2,316.2,data/response_curves/response_rep28_read4.csv
28,,5,2,1000.0,data/response_curves/response_rep28_read5.csv
29,,1,3,0.0,data/response_curves/response_rep29_read1.csv
29,,2,3,31.6,data/response_curves/response_rep29_read2.csv
29,,3,3,100.0,data/response_curves/response_rep29_read3.csv
29,,4,3,316.2,data/response_curves/response_rep29_read4.csv
29,,5,3,1000.0,data/response_curves/response_rep29_read5.csv
30,,1,1,0.0,data/response_curves/response_rep30_read1.csv
30,,2,1,31.6,data/response_curves/response_rep30_read2.csv
30,,3,1,100.0,data/response_curves/response_rep30_read3.csv
30,,4,1,316.2,data/response_curves/response_rep30_read4.csv
30,,5,1,1000.0,data/response_curves/response_rep30_read5.csv
31,,1,2,0.0,data/response_curves/response_rep31_read1.csv
31,,2,2,31.6,data/response_curves/response_rep31_read2.csv
31,,3,2,100.0,data/response_curves/response_rep31_read3.csv
31,,4,2,316.2,data/response_curves/response_rep31_read4.csv
31,,5,2,1000.0,data/response_curves/response_rep31_read5.csv
34,,1,2,0.0,data/response_curves/response_rep34_read1.csv
34,,2,2,31.6,data/response_curves/response_rep34_read2.csv
34,,3,2,100.0,data/response_curves/response_rep34_read3.csv
34,,4,2,316.2,data/response_curves/response_rep34_read4.csv
34,,5,2,1000.0,data/response_curves/response_rep34_read5.csv
35,,1,3,0.0,data/response_curves/response_rep35_read1.csv
35,,2,3,31.6,data/response_curves/response_rep35_read2.csv
35,,3,3,100.0,data/response_curves/response_rep35_read3.csv
35,,4,3,316.2,data/response_curves/response_rep35_read4.csv
35,,5,3,1000.0,data/response_curves/response_rep35_read5.csv
36,,1,1,0.0,data/response_curves/response_rep36_read1.csv
36,,2,1,31.6,data/response_curves/response_rep36_read2.csv
36,,3,1,100.0,data/response_curves/response_rep36_read3.csv
36,,4,1,316.2,data/response_curves/response_rep36_read4.csv
36,,5,1,1000.0,data/response_curves/response_rep36_read5.csv
37,,1,2,0.0,data/response_curves/response_rep37_read1.csv
37,,2,2,31.6,data/response_curves/response_rep37_read2.csv
37,,3,2,100.0,data/response_curves/response_rep37_read3.csv
37,,4,2,316.2,data/response_curves/response_rep37_read4.csv
37,,5,2,1000.0,data/response_curves/response_rep37_read5.csv
38,,1,1,0.0,data/response_curves/response_rep38_read1.csv
38,,2,1,31.6,data/response_curves/response_rep38_read2.csv
38,,3,1,100.0,data/response_curves/response_rep38_read3.csv
38,,4,1,316.2,data/response_curves/response_rep38_read4.csv
38,,5,1,1000.0,data/response_curves/response_rep38_read5.csv
39,,1,2,0.0,data/response_curves/response_rep39_read1.csv
39,,2,2,31.6,data/response_curves/response_rep39_read2.csv
39,,3,2,100.0,data/response_curves/response_rep39_read3.csv
39,,4,2,316.2,data/response_curves/response_rep39_read4.csv
39,,5,2,1000.0,data/response_curves/response_rep39_read5.csv
,1,1,1,100.0,data/blanks/response_curves/response_blank1_read1.csv
,1,2,1,1000.0,data/blanks/response_curves/response_blank1_read2.csv
,1,3,1,31.6,data/blanks/response_curves/response_blank1_read3.csv
,1,4,1,316.2,data/blanks/response_curves/response_blank1_read4.csv
,1,5,1,100.0,data/blanks/response_curves/response_blank1_read5.csv
,1,6,1,31.6,data/blanks/response_curves/response_blank1_read6.csv
,1,7,1,0.0,data/blanks/response_curves/response_blank1_read7.csv
,1,8,1,316.2,data/blanks/response_curves/response_blank1_read8.csv
,1,9,1,0.0,data/blanks/response_curves/response_blank1_read9.csv
,1,10,1,1000.0,data/blanks/response_curves/response_blank1_read10.csv
,2,1,2,1000.0,data/blanks/response_curves/response_blank2_read1.csv
,2,2,2,100.0,data/blanks/response_curves/response_blank2_read2.csv
,2,3,2,0.0,data/blanks/response_curves/response_blank2_read3.csv
,2,4,2,0.0,data/blanks/response_curves/response_blank2_read4.csv
,2,5,2,1000.0,data/blanks/response_curves/response_blank2_read5.csv
,2,6,2,100.0,data/blanks/response_curves/response_blank2_read6.csv
,2,7,2,31.6,data/blanks/response_curves/response_blank2_read7.csv
,2,8,2,316.2,data/blanks/response_curves/response_blank2_read8.csv
,2,9,2,316.2,data/blanks/response_curves/response_blank2_read9.csv
,2,10,2,31.6,data/blanks/response_curves/response_blank2_read10.csv
,3,1,3,31.6,data/blanks/response_curves/response_blank3_read1.csv
,3,2,3,316.2,data/blanks/response_curves/response_blank3_read2.csv
,3,3,3,1000.0,data/blanks/response_curves/response_blank3_read3.csv
,3,4,3,31.6,data/blanks/response_curves/response_blank3_read4.csv
,3,5,3,0.0,data/blanks/response_curves/response_blank3_read5.csv
,3,6,3,1000.0,data/blanks/response_curves/response_blank3_read6.csv
,3,7,3,100.0,data/blanks/response_curves/response_blank3_read7.csv
,3,8,3,100.0,data/blanks/response_curves/response_blank3_read8.csv
,3,9,3,0.0,data/blanks/response_curves/response_blank3_read9.csv
,3,10,3,316.2,data/blanks/response_curves/response_blank3_read10.csv
,4,1,4,0.0,data/blanks/response_curves/response_blank4_read1.csv
,4,2,4,0.0,data/blanks/response_curves/response_blank4_read2.csv
,4,3,4,316.2,data/blanks/response_curves/response_blank4_read3.csv
,4,4,4,316.2,data/blanks/response_curves/response_blank4_read4.csv
,4,5,4,100.0,data/blanks/response_curves/response_blank4_read5.csv
,4,6,4,31.6,data/blanks/response_curves/response_blank4_read6.csv
,4,7,4,10.0,data/blanks/response_curves/response_blank4_read7.csv
,4,8,4,10.0,data/blanks/response_curves/response_blank4_read8.csv
,4,9,4,100.0,data/blanks/response_curves/response_blank4_read9.csv
,4,10,4,31.6,data/blanks/response_curves/response_blank4_read10.csv
