replicate_id,name,replicate_number,method,sensorgram_folder
1,TNFA_OPT_01,2,BLI,data/sensorgrams/rep1/
2,TNFA_OPT_01,1,BLI,data/sensorgrams/rep2/
3,TNFA_OPT_02,1,BLI,data/sensorgrams/rep3/
4,TNFA_OPT_02,2,BLI,data/sensorgrams/rep4/
5,TNFA_OPT_03,1,BLI,data/sensorgrams/rep5/
6,TNFA_OPT_03,2,BLI,data/sensorgrams/rep6/
7,TNFA_OPT_04,1,BLI,data/sensorgrams/rep7/
8,TNFA_OPT_04,2,BLI,data/sensorgrams/rep8/
9,TNFA_OPT_05,1,BLI,data/sensorgrams/rep9/
10,TNFA_OPT_05,2,BLI,data/sensorgrams/rep10/
11,TNFA_OPT_06,2,BLI,data/sensorgrams/rep11/
12,TNFA_OPT_06,1,BLI,data/sensorgrams/rep12/
13,TNFA_OPT_07,2,BLI,data/sensorgrams/rep13/
14,TNFA_OPT_07,1,BLI,data/sensorgrams/rep14/
15,TNFA_OPT_08,1,BLI,data/sensorgrams/rep15/
16,TNFA_OPT_09,1,BLI,data/sensorgrams/rep16/
17,TNFA_OPT_09,2,BLI,data/sensorgrams/rep17/
18,TNFA_OPT_10,1,BLI,data/sensorgrams/rep18/
19,TNFA_OPT_10,2,BLI,data/sensorgrams/rep19/
20,TNFA_UNOPT_01,1,BLI,data/sensorgrams/rep20/
21,TNFA_UNOPT_01,2,BLI,data/sensorgrams/rep21/
22,TNFA_UNOPT_02,1,BLI,data/sensorgrams/rep22/
23,TNFA_UNOPT_02,2,BLI,data/sensorgrams/rep23/
24,TNFA_UNOPT_03,1,BLI,data/sensorgrams/rep24/
25,TNFA_UNOPT_03,2,BLI,data/sensorgrams/rep25/
26,TNFA_UNOPT_04,1,BLI,data/sensorgrams/rep26/
27,TNFA_UNOPT_04,2,BLI,data/sensorgrams/rep27/
28,TNFA_UNOPT_05,1,BLI,data/sensorgrams/rep28/
29,TNFA_UNOPT_05,2,BLI,data/sensorgrams/rep29/
30,TNFA_UNOPT_06,1,BLI,data/sensorgrams/rep30/
31,TNFA_UNOPT_06,2,BLI,data/sensorgrams/rep31/
32,TNFA_UNOPT_07,1,BLI,data/sensorgrams/rep32/
33,TNFA_UNOPT_07,2,BLI,data/sensorgrams/rep33/
34,TNFA_UNOPT_08,1,BLI,data/sensorgrams/rep34/
35,TNFA_UNOPT_08,2,BLI,data/sensorgrams/rep35/
36,TNFA_UNOPT_09,1,BLI,data/sensorgrams/rep36/
37,TNFA_UNOPT_09,2,BLI,data/sensorgrams/rep37/
38,TNFA_UNOPT_10,1,BLI,data/sensorgrams/rep38/
39,TNFA_UNOPT_10,2,BLI,data/sensorgrams/rep39/
